date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday,max_wind_ms,mean_wind_ms,max_gust_ms,max_swh_m,mean_swh_m,population,csl_trips_per_1k,csl_lbs_per_1k,total_annual_trips,total_annual_csl,trip_share_daily,csl_trip_share_daily
1985-01-26,1985,1,26,Saturday,43,0,0,1715,0,182,61,135,1139,0,198,0,0,0,0,0,0,0,0,1985,0,8.90566854124203,6.178915036664796,11.919084,1.5004458,1.3078495666666667,100760,0,0,3784,36,0.011363636363636364,0
1985-01-27,1985,1,27,Sunday,15,0,0,544,0,166,20,104,169,0,85,0,0,0,0,0,0,0,0,1985,1,7.279906033509707,5.239004968087868,10.0908165,1.0993991,1.0060244916666667,100760,0,0,3784,36,0.003964059196617336,0
1985-01-28,1985,1,28,Monday,16,0,0,554,0,144,10,20,288,0,92,0,0,0,0,0,0,0,0,1985,0,7.646862777188863,6.5786901063485095,10.46961,1.3541521,1.2889205458333333,100760,0,0,3784,36,0.004228329809725159,0
1985-01-29,1985,1,29,Tuesday,12,0,0,522,0,245,53,14,157,0,53,0,0,0,0,0,0,0,0,1985,0,7.651991178776623,6.7926790212865615,10.357227,1.3644985,1.3003790875,100760,0,0,3784,36,0.003171247357293869,0
1985-01-30,1985,1,30,Wednesday,20,0,0,762,0,167,10,16,412,0,157,0,0,0,0,0,0,0,0,1985,0,7.025979647806632,5.949723000106335,9.252852,1.2364297,1.1258112666666666,100760,0,0,3784,36,0.005285412262156448,0
1985-01-31,1985,1,31,Thursday,5,0,0,467,0,360,0,0,107,0,0,0,0,0,0,0,0,0,0,1985,0,8.600123104784098,7.8658538084525915,12.183859,1.2812301,1.1599957,100760,0,0,3784,36,0.001321353065539112,0
1985-02-01,1985,2,1,Friday,14,0,0,989,0,66,0,140,713,0,70,0,0,0,0,0,0,0,0,1985,0,9.768622606923302,9.113076990885538,13.527158,1.8383323,1.6174223791666666,100760,0,0,3784,36,0.0036997885835095136,0
1985-02-02,1985,2,2,Saturday,39,0,0,1558,0,116,58,111,961,0,312,0,0,0,0,0,0,0,0,1985,0,10.690496764232615,9.86165569840368,14.240291,1.9545639,1.852291725,100760,0,0,3784,36,0.010306553911205074,0
1985-02-03,1985,2,3,Sunday,16,0,0,738,0,252,10,204,147,0,125,0,0,0,0,0,0,0,0,1985,1,10.945545519696724,9.936865483696451,14.640933,1.9418485,1.863013775,100760,0,0,3784,36,0.004228329809725159,0
1985-02-04,1985,2,4,Monday,23,0,0,852,0,535,58,14,205,0,40,0,0,0,0,0,0,0,0,1985,0,10.374009792201726,9.57820466241115,13.747326,1.8879435,1.7928967541666667,100760,0,0,3784,36,0.006078224101479916,0
1985-02-05,1985,2,5,Tuesday,24,0,0,1933,0,977,0,42,656,0,258,0,0,0,0,0,0,0,0,1985,0,10.77322166503649,9.819898679866002,14.313404,1.7633907,1.6586385916666666,100760,0,0,3784,36,0.006342494714587738,0
1985-02-06,1985,2,6,Wednesday,20,0,0,704,0,169,12,44,387,0,92,0,0,0,0,0,0,0,0,1985,0,9.194049879855493,8.262879309472703,12.584334,1.5461484,1.3917471375,100760,0,0,3784,36,0.005285412262156448,0
1985-02-07,1985,2,7,Thursday,11,0,0,341,0,186,10,55,50,0,40,0,0,0,0,0,0,0,0,1985,0,7.485427473301592,6.590559702594637,10.03729,1.2044773,1.1575009,100760,0,0,3784,36,0.0029069767441860465,0
1985-02-08,1985,2,8,Friday,22,0,0,1622,0,389,41,68,769,0,355,0,0,0,0,0,0,0,0,1985,0,7.858912150937456,5.723369438768245,10.35749,1.2637587,1.1560798708333333,100760,0,0,3784,36,0.005813953488372093,0
1985-02-09,1985,2,9,Saturday,40,0,0,1517,0,209,18,134,1006,0,150,0,0,0,0,0,0,0,0,1985,0,4.066156556397842,3.2491213879338585,6.0378103,1.0145195,0.8307440304166667,100760,0,0,3784,36,0.010570824524312896,0
1985-02-10,1985,2,10,Sunday,16,0,0,664,0,193,0,171,285,0,15,0,0,0,0,0,0,0,0,1985,1,5.806872398841127,4.365384292211295,8.089597,0.95051,0.7259695683333334,100760,0,0,3784,36,0.004228329809725159,0
1985-02-11,1985,2,11,Monday,21,0,0,763,0,357,0,23,258,0,125,0,0,0,0,0,0,0,0,1985,0,6.38409744981576,5.9823570719498065,9.1987705,1.3138468,1.2223511333333332,100760,0,0,3784,36,0.005549682875264271,0
1985-02-12,1985,2,12,Tuesday,20,0,0,1151,0,179,63,37,444,0,428,0,0,0,0,0,0,0,0,1985,0,6.991481164836636,6.531460176659194,10.389708,1.3589071,1.3005021041666667,100760,0,0,3784,36,0.005285412262156448,0
1985-02-13,1985,2,13,Wednesday,18,0,0,667,0,202,0,38,317,0,110,0,0,0,0,0,0,0,0,1985,0,7.1158164627974,6.763420367749542,10.184022,1.2074212,1.1929437083333334,100760,0,0,3784,36,0.0047568710359408035,0
1985-02-14,1985,2,14,Thursday,12,0,0,468,0,199,0,0,179,0,90,0,0,0,0,0,0,0,0,1985,0,8.888082759077237,7.986433710591228,12.31651,1.6089616,1.4839111958333333,100760,0,0,3784,36,0.003171247357293869,0
1985-02-15,1985,2,15,Friday,17,0,0,1066,0,134,0,100,661,0,171,0,0,0,0,0,0,0,0,1985,0,10.104773519091184,8.947193369745118,13.102622,1.8667185,1.7290489208333333,100760,0,0,3784,36,0.004492600422832981,0
1985-02-16,1985,2,16,Saturday,35,3,0.085714286,1228,59,105,31,58,999,0,35,0,0,24,0,0,0,35,0,1985,0,9.136043212426372,8.131216444912628,12.594533,1.7290353,1.6329834375,100760,0.029773719730051607,0.5855498213576816,3784,36,0.009249471458773785,0.08333333333333333
1985-02-17,1985,2,17,Sunday,11,0,0,435,0,110,30,33,92,0,170,0,0,0,0,0,0,0,0,1985,1,9.573183341014527,8.82737732431316,13.626734,1.782788,1.6046397125,100760,0,0,3784,36,0.0029069767441860465,0
1985-02-18,1985,2,18,Monday,20,0,0,640,0,242,56,13,219,0,110,0,0,0,0,0,0,0,0,1985,0,10.344999382177669,9.693691175919728,15.016877,2.067735,1.9007223416666665,100760,0,0,3784,36,0.005285412262156448,0
1985-02-19,1985,2,19,Tuesday,21,0,0,1006,0,202,15,62,409,0,318,0,0,0,0,0,0,0,0,1985,0,11.047973719483375,9.97373556554458,15.063877,2.1417348,1.9806595166666667,100760,0,0,3784,36,0.005549682875264271,0
1985-02-20,1985,2,20,Wednesday,19,0,0,896,0,424,0,137,335,0,0,0,0,0,0,0,0,0,0,1985,0,10.7015789413318,10.145240851671275,14.539411,2.068486,1.9973301625,100760,0,0,3784,36,0.005021141649048625,0
1985-02-21,1985,2,21,Thursday,14,0,0,806,0,163,0,300,289,0,54,0,0,0,0,0,0,0,0,1985,0,9.353863433620614,8.460524775883375,12.716268,1.7397135,1.687627925,100760,0,0,3784,36,0.0036997885835095136,0
1985-02-22,1985,2,22,Friday,16,0,0,903,0,211,0,11,474,0,207,0,0,0,0,0,0,0,0,1985,0,9.402822614870972,8.59381436300476,12.4471245,1.6471468,1.5747250125,100760,0,0,3784,36,0.004228329809725159,0
1985-02-23,1985,2,23,Saturday,34,0,0,1660,0,88,29,160,1113,0,270,0,0,0,0,0,0,0,0,1985,0,9.090837985195092,8.688319671101613,12.893591,1.658366,1.624073925,100760,0,0,3784,36,0.008985200845665961,0
1985-02-24,1985,2,24,Sunday,15,0,0,552,0,324,0,53,173,0,2,0,0,0,0,0,0,0,0,1985,1,9.520524325101825,8.865818917891387,13.11156,1.907729,1.7487596041666666,100760,0,0,3784,36,0.003964059196617336,0
1985-02-25,1985,2,25,Monday,22,0,0,1000,0,345,82,29,432,0,112,0,0,0,0,0,0,0,0,1985,0,10.039965422451862,8.715368721858622,13.547852,1.9452348,1.8093161666666666,100760,0,0,3784,36,0.005813953488372093,0
1985-02-26,1985,2,26,Tuesday,20,0,0,958,0,419,10,81,388,0,60,0,0,0,0,0,0,0,0,1985,0,9.148299980062301,8.316618825010906,12.848935,1.7055699,1.6198544208333334,100760,0,0,3784,36,0.005285412262156448,0
1985-02-27,1985,2,27,Wednesday,24,0,0,1201,0,282,0,201,397,0,321,0,0,0,0,0,0,0,0,1985,0,10.063578804785873,9.327609325004714,13.872298,1.8314376,1.7425839458333334,100760,0,0,3784,36,0.006342494714587738,0
1985-02-28,1985,2,28,Thursday,24,0,0,1213,0,163,0,122,783,0,145,0,0,0,0,0,0,0,0,1985,0,9.236450418368754,8.02595355816963,12.352941,1.6891246,1.5440671208333334,100760,0,0,3784,36,0.006342494714587738,0
1985-03-01,1985,3,1,Friday,17,0,0,826,0,177,60,0,423,0,166,0,0,0,0,0,0,0,0,1985,0,8.008761472836733,7.4475820570920375,10.971514,1.3829435,1.3525277916666667,100760,0,0,3784,36,0.004492600422832981,0
1985-03-02,1985,3,2,Saturday,40,0,0,1751,0,270,20,279,1127,0,55,0,0,0,0,0,0,0,0,1985,0,8.13331567015277,7.356094983051329,11.146096,1.3664231,1.3449993916666667,100760,0,0,3784,36,0.010570824524312896,0
1985-03-03,1985,3,3,Sunday,19,0,0,702,0,167,27,138,259,0,111,0,0,0,0,0,0,0,0,1985,1,8.64501433768276,7.360609945548761,11.508754,1.4982649,1.3815492791666666,100760,0,0,3784,36,0.005021141649048625,0
1985-03-04,1985,3,4,Monday,14,0,0,634,0,352,10,13,179,0,80,0,0,0,0,0,0,0,0,1985,0,5.97222877225178,5.567177807499965,8.636617,1.2416786,1.0852181625,100760,0,0,3784,36,0.0036997885835095136,0
1985-03-05,1985,3,5,Tuesday,23,0,0,1282,0,294,0,399,549,0,40,0,0,0,0,0,0,0,0,1985,0,9.608897348480458,7.245556536746299,12.004914,1.329372,1.1367768345833333,100760,0,0,3784,36,0.006078224101479916,0
1985-03-06,1985,3,6,Wednesday,22,0,0,1191,0,453,0,38,580,0,120,0,0,0,0,0,0,0,0,1985,0,9.223343621225267,8.165755194877782,12.876473,1.5394495,1.4235267083333334,100760,0,0,3784,36,0.005813953488372093,0
1985-03-07,1985,3,7,Thursday,15,0,0,572,0,365,40,12,80,0,75,0,0,0,0,0,0,0,0,1985,0,9.203452849494925,8.147643223610634,12.3846655,1.5428175,1.4754392583333333,100760,0,0,3784,36,0.003964059196617336,0
1985-03-08,1985,3,8,Friday,18,0,0,987,0,185,37,0,695,0,70,0,0,0,0,0,0,0,0,1985,0,9.192230183498344,8.345916343097214,12.062457,1.6292963,1.5346527583333334,100760,0,0,3784,36,0.0047568710359408035,0
1985-03-09,1985,3,9,Saturday,39,0,0,1902,0,102,30,161,1384,0,225,0,0,0,0,0,0,0,0,1985,0,8.701574902824524,7.65695601640698,12.094384,1.4794496,1.400743325,100760,0,0,3784,36,0.010306553911205074,0
1985-03-10,1985,3,10,Sunday,16,0,0,590,0,196,42,122,215,0,15,0,0,0,0,0,0,0,0,1985,1,8.151563841144217,7.540048758446461,11.241825,1.4111278,1.3928562583333333,100760,0,0,3784,36,0.004228329809725159,0
1985-03-11,1985,3,11,Monday,22,0,0,713,0,223,20,113,247,0,110,0,0,0,0,0,0,0,0,1985,0,7.7441694681113615,7.2000858479081264,10.425053,1.405152,1.3538086916666667,100760,0,0,3784,36,0.005813953488372093,0
1985-03-12,1985,3,12,Tuesday,18,0,0,1124,0,254,20,12,758,0,80,0,0,0,0,0,0,0,0,1985,0,8.174305003584374,7.0347869677616535,11.187265,1.3333539,1.2528015625,100760,0,0,3784,36,0.0047568710359408035,0
1985-03-13,1985,3,13,Wednesday,17,0,0,663,0,391,0,17,175,0,80,0,0,0,0,0,0,0,0,1985,0,8.312997953432504,7.270689835911224,11.0657015,1.2740073,1.2042159208333334,100760,0,0,3784,36,0.004492600422832981,0
1985-03-14,1985,3,14,Thursday,20,0,0,858,0,218,54,144,313,0,129,0,0,0,0,0,0,0,0,1985,0,8.821963659353681,8.024121932540877,12.017195,1.3490343,1.2711558958333333,100760,0,0,3784,36,0.005285412262156448,0
1985-03-15,1985,3,15,Friday,24,0,0,1351,0,373,0,0,637,0,341,0,0,0,0,0,0,0,0,1985,0,8.937680031509252,7.933287895307269,12.858164,1.388506,1.2982604625,100760,0,0,3784,36,0.006342494714587738,0
1985-03-16,1985,3,16,Saturday,34,0,0,1505,0,186,25,23,1032,0,239,0,0,0,0,0,0,0,0,1985,0,8.036590774799157,7.648413719424126,11.342113,1.2982622,1.2649281083333332,100760,0,0,3784,36,0.008985200845665961,0
1985-03-17,1985,3,17,Sunday,20,0,0,742,0,242,50,117,283,0,50,0,0,0,0,0,0,0,0,1985,1,9.336071260828277,8.77650390083277,13.002209,1.5785403,1.4771581041666666,100760,0,0,3784,36,0.005285412262156448,0
1985-03-18,1985,3,18,Monday,19,0,0,549,0,164,6,85,203,0,91,0,0,0,0,0,0,0,0,1985,0,8.903819911448064,7.089435871584892,12.315292,1.6061498,1.4157157458333334,100760,0,0,3784,36,0.005021141649048625,0
1985-03-19,1985,3,19,Tuesday,17,0,0,1146,0,342,0,15,689,0,100,0,0,0,0,0,0,0,0,1985,0,7.503290259547541,5.193247517251258,9.815908,1.2202402,1.1477966083333333,100760,0,0,3784,36,0.004492600422832981,0
1985-03-20,1985,3,20,Wednesday,20,0,0,958,0,116,0,51,661,0,130,0,0,0,0,0,0,0,0,1985,0,5.6402023871562355,4.860665728604061,8.436383,1.0447955,0.9951427533333334,100760,0,0,3784,36,0.005285412262156448,0
1985-03-21,1985,3,21,Thursday,14,0,0,356,0,115,40,14,146,0,41,0,0,0,0,0,0,0,0,1985,0,6.281024055499196,5.839001292754758,8.782257,1.2025425,1.1463928125,100760,0,0,3784,36,0.0036997885835095136,0
1985-03-22,1985,3,22,Friday,18,0,0,1003,0,162,30,0,596,0,215,0,0,0,0,0,0,0,0,1985,0,6.778477859755706,6.190307530430909,9.343962,1.2252045,1.2048848083333334,100760,0,0,3784,36,0.0047568710359408035,0
1985-03-23,1985,3,23,Saturday,28,0,0,1127,0,156,0,59,827,0,85,0,0,0,0,0,0,0,0,1985,0,6.90318386177361,6.1249662023449005,9.723227,1.2308939,1.1800233625,100760,0,0,3784,36,0.007399577167019027,0
1985-03-24,1985,3,24,Sunday,23,0,0,811,0,307,17,157,320,0,10,0,0,0,0,0,0,0,0,1985,1,5.698059487723474,5.171978670288179,7.651455,1.0608474,0.9836615879166667,100760,0,0,3784,36,0.006078224101479916,0
1985-03-25,1985,3,25,Monday,17,0,0,904,0,358,50,13,363,0,120,0,0,0,0,0,0,0,0,1985,0,6.667545284389399,5.336305091352499,9.105274,0.9725657,0.9049817804166667,100760,0,0,3784,36,0.004492600422832981,0
1985-03-26,1985,3,26,Tuesday,18,0,0,920,0,298,40,17,530,0,35,0,0,0,0,0,0,0,0,1985,0,4.844243095694774,3.878497768371803,7.0552926,0.8139045,0.8008890433333333,100760,0,0,3784,36,0.0047568710359408035,0
1985-03-27,1985,3,27,Wednesday,18,0,0,621,0,136,0,24,461,0,0,0,0,0,0,0,0,0,0,1985,0,10.353865896989344,8.159472863809674,14.52383,1.8878965,1.28588896625,100760,0,0,3784,36,0.0047568710359408035,0
1985-03-28,1985,3,28,Thursday,12,0,0,357,0,62,0,14,236,0,45,0,0,0,0,0,0,0,0,1985,0,12.04165425012577,11.158585436066916,15.93881,2.3602157,2.212460308333333,100760,0,0,3784,36,0.003171247357293869,0
1985-03-29,1985,3,29,Friday,16,0,0,850,0,159,0,0,635,0,56,0,0,0,0,0,0,0,0,1985,0,10.60739377642336,9.20506020749084,14.026451,2.0829322,1.8935733916666666,100760,0,0,3784,36,0.004228329809725159,0
1985-03-30,1985,3,30,Saturday,29,0,0,1198,0,119,10,51,1018,0,0,0,0,0,0,0,0,0,0,1985,0,9.675660429308397,8.737716611132706,12.88407,1.7865391,1.6146753791666666,100760,0,0,3784,36,0.00766384778012685,0
1985-03-31,1985,3,31,Sunday,8,0,0,324,0,103,0,92,129,0,0,0,0,0,0,0,0,0,0,1985,1,9.2953366573966,8.883735416877197,12.997587,1.5665784,1.4632537958333334,100760,0,0,3784,36,0.0021141649048625794,0
1985-04-01,1985,4,1,Monday,17,0,0,696,0,235,0,30,391,0,40,0,0,0,0,0,0,0,0,1985,0,8.679393935362961,6.938362361999099,12.36542,1.267588,1.08285361,100760,0,0,3784,36,0.004492600422832981,0
1985-04-02,1985,4,2,Tuesday,21,0,0,1398,0,478,20,34,643,0,223,0,0,0,0,0,0,0,0,1985,0,7.878494917845906,6.836998992221231,10.713581,1.0957352,1.00115491625,100760,0,0,3784,36,0.005549682875264271,0
1985-04-03,1985,4,3,Wednesday,18,0,0,736,0,356,0,15,255,0,110,0,0,0,0,0,0,0,0,1985,0,8.00642546779674,5.931961419203342,10.945236,1.2157015,1.1651531791666667,100760,0,0,3784,36,0.0047568710359408035,0
1985-04-04,1985,4,4,Thursday,26,3,0.115384615,1172,150,493,80,26,423,0,150,0,0,0,0,0,0,150,0,1985,0,4.4868903589608085,3.2760321753171087,6.4652953,1.1600547,1.0909892041666667,100760,0.029773719730051607,1.4886859865025803,3784,36,0.006871035940803382,0.08333333333333333
1985-04-05,1985,4,5,Friday,21,0,0,994,0,337,40,15,573,0,29,0,0,0,0,0,0,0,0,1985,0,8.488235149806801,7.433518530517127,11.678544,1.4947833,1.2987926625,100760,0,0,3784,36,0.005549682875264271,0
1985-04-06,1985,4,6,Saturday,39,3,0.076923077,2067,80,313,10,129,1295,0,320,0,0,0,0,0,0,80,0,1985,0,9.964629180170279,8.692587175048372,13.320974,1.7139989,1.583485825,100760,0.029773719730051607,0.7939658594680429,3784,36,0.010306553911205074,0.08333333333333333
1985-04-07,1985,4,7,Sunday,16,0,0,554,0,301,0,0,109,0,144,0,0,0,0,0,0,0,0,1985,1,9.166778162747027,8.572113370380666,12.8353,1.716806,1.6442055416666665,100760,0,0,3784,36,0.004228329809725159,0
1985-04-08,1985,4,8,Monday,18,0,0,716,0,317,40,5,164,0,190,0,0,0,0,0,0,0,0,1985,0,9.09930842168129,7.702646171050903,13.667316,1.7049023,1.57069635,100760,0,0,3784,36,0.0047568710359408035,0
1985-04-09,1985,4,9,Tuesday,28,0,0,2015,0,381,0,130,1049,0,455,0,0,0,0,0,0,0,0,1985,0,7.853123043093455,6.8634216363684954,11.033889,1.4112116,1.3580075875,100760,0,0,3784,36,0.007399577167019027,0
1985-04-10,1985,4,10,Wednesday,22,0,0,1002,0,242,20,26,562,0,152,0,0,0,0,0,0,0,0,1985,0,8.03872300353794,7.586852319691905,11.812093,1.405707,1.3544599,100760,0,0,3784,36,0.005813953488372093,0
1985-04-11,1985,4,11,Thursday,12,0,0,358,0,99,31,40,115,0,73,0,0,0,0,0,0,0,0,1985,0,9.222105997065304,8.025892641004907,12.221227,1.5220141,1.4470370208333334,100760,0,0,3784,36,0.003171247357293869,0
1985-04-12,1985,4,12,Friday,17,0,0,1140,0,246,20,60,515,0,299,0,0,0,0,0,0,0,0,1985,0,9.937548655807822,9.152485843525834,13.534144,1.7672899,1.6445150208333332,100760,0,0,3784,36,0.004492600422832981,0
1985-04-13,1985,4,13,Saturday,44,0,0,2032,0,425,20,67,1399,0,121,0,0,0,0,0,0,0,0,1985,0,9.232084803822602,8.855800182370983,13.161165,1.5929066,1.5614658291666665,100760,0,0,3784,36,0.011627906976744186,0
1985-04-14,1985,4,14,Sunday,13,0,0,774,0,262,0,9,503,0,0,0,0,0,0,0,0,0,0,1985,1,8.860699562252139,8.275814643851161,12.704517,1.5186014,1.4778290333333333,100760,0,0,3784,36,0.003435517970401691,0
1985-04-15,1985,4,15,Monday,21,0,0,998,0,222,30,42,575,0,129,0,0,0,0,0,0,0,0,1985,0,9.477600837790272,8.561232896406151,13.019706,1.5338756,1.4783260291666667,100760,0,0,3784,36,0.005549682875264271,0
1985-04-16,1985,4,16,Tuesday,23,0,0,1089,0,450,0,53,536,0,50,0,0,0,0,0,0,0,0,1985,0,9.233438294371336,8.426035095826993,12.883002,1.6324404,1.5231792583333332,100760,0,0,3784,36,0.006078224101479916,0
1985-04-17,1985,4,17,Wednesday,20,0,0,783,0,161,0,0,439,0,183,0,0,0,0,0,0,0,0,1985,0,8.53105099632814,7.987864022299975,11.575097,1.4779283,1.4155921708333332,100760,0,0,3784,36,0.005285412262156448,0
1985-04-18,1985,4,18,Thursday,13,0,0,626,0,111,0,0,355,0,160,0,0,0,0,0,0,0,0,1985,0,8.640597171701156,7.401551732077588,11.616683,1.4473518,1.3325199208333334,100760,0,0,3784,36,0.003435517970401691,0
1985-04-19,1985,4,19,Friday,19,0,0,684,0,192,10,0,432,0,50,0,0,0,0,0,0,0,0,1985,0,9.246419182043189,8.280220896266206,11.588113,1.5432715,1.4568703208333333,100760,0,0,3784,36,0.005021141649048625,0
1985-04-20,1985,4,20,Saturday,42,3,0.071428571,2268,95,593,80,175,1190,0,230,0,0,15,0,0,0,80,0,1985,0,9.157247403537246,7.969015072457561,12.1721115,1.5249658,1.4054301,100760,0.029773719730051607,0.9428344581183009,3784,36,0.011099365750528542,0.08333333333333333
